ni,x,y,z,active,is_top
1,533750.92297,751913.194241,-2000.0,True,False
2,536612.335694,756869.306461,-2000.0,True,False
3,538214.104914,759643.652131,-2000.0,True,False
4,539110.747545,761196.682725,-2000.0,True,False
5,539612.67254,762066.042318,-2000.0,True,False
6,539893.641448,762552.694742,-2000.0,True,False
7,540050.92297,762825.114329,-2000.0,True,False
8,540250.92297,763171.524491,-2000.0,True,False
9,540443.230662,763504.611184,-2000.0,True,False
10,540635.538355,763837.697878,-2000.0,True,False
11,540827.846047,764170.784572,-2000.0,True,False
12,541020.153739,764503.871266,-2000.0,True,False
13,541212.461432,764836.957959,-2000.0,True,False
14,541404.769124,765170.044653,-2000.0,True,False
15,541597.076816,765503.131347,-2000.0,True,False
16,541789.384508,765836.218041,-2000.0,True,False
17,541981.692201,766169.304734,-2000.0,True,False
18,542173.999893,766502.391428,-2000.0,True,False
19,542366.307585,766835.478122,-2000.0,True,False
20,542558.615278,767168.564816,-2000.0,True,False
21,542750.92297,767501.651509,-2000.0,True,False
22,542950.92297,767848.061671,-2000.0,True,False
23,543108.204492,768120.481258,-2000.0,True,False
24,543389.1734,768607.133682,-2000.0,True,False
25,543891.098395,769476.493275,-2000.0,True,False
26,544787.741026,771029.523869,-2000.0,True,False
27,546389.510246,773803.869539,-2000.0,True,False
28,549250.92297,778759.981759,-2000.0,True,False
29,527860.950592,755313.77138,-2000.0,True,False
30,530722.363315,760269.883599,-2000.0,True,False
31,532324.132535,763044.22927,-2000.0,True,False
32,533220.775166,764597.259863,-2000.0,True,False
33,533722.700162,765466.619456,-2000.0,True,False
34,534003.66907,765953.27188,-2000.0,True,False
35,534160.950592,766225.691467,-2000.0,True,False
36,534360.950592,766572.101629,-2000.0,True,False
37,534553.258284,766905.188323,-2000.0,True,False
38,534745.565976,767238.275016,-2000.0,True,False
39,534937.873668,767571.36171,-2000.0,True,False
40,535130.181361,767904.448404,-2000.0,True,False
41,535322.489053,768237.535098,-2000.0,True,False
42,535514.796745,768570.621791,-2000.0,True,False
43,535707.104438,768903.708485,-2000.0,True,False
44,535899.41213,769236.795179,-2000.0,True,False
45,536091.719822,769569.881873,-2000.0,True,False
46,536284.027515,769902.968566,-2000.0,True,False
47,536476.335207,770236.05526,-2000.0,True,False
48,536668.642899,770569.141954,-2000.0,True,False
49,536860.950592,770902.228648,-2000.0,True,False
50,537060.950592,771248.638809,-2000.0,True,False
51,537218.232114,771521.058396,-2000.0,True,False
52,537499.201021,772007.71082,-2000.0,True,False
53,538001.126017,772877.070414,-2000.0,True,False
54,538897.768648,774430.101007,-2000.0,True,False
55,540499.537868,777204.446678,-2000.0,True,False
56,543360.950592,782160.558897,-2000.0,True,False
57,524641.552268,757172.491868,-2000.0,True,False
58,527502.964992,762128.604087,-2000.0,True,False
59,529104.734212,764902.949758,-2000.0,True,False
60,530001.376843,766455.980351,-2000.0,True,False
61,530503.301839,767325.339945,-2000.0,True,False
62,530784.270746,767811.992369,-2000.0,True,False
63,530941.552268,768084.411956,-2000.0,True,False
64,531141.552268,768430.822117,-2000.0,True,False
65,531333.859961,768763.908811,-2000.0,True,False
66,531526.167653,769096.995505,-2000.0,True,False
67,531718.475345,769430.082199,-2000.0,True,False
68,531910.783038,769763.168892,-2000.0,True,False
69,532103.09073,770096.255586,-2000.0,True,False
70,532295.398422,770429.34228,-2000.0,True,False
71,532487.706115,770762.428974,-2000.0,True,False
72,532680.013807,771095.515667,-2000.0,True,False
73,532872.321499,771428.602361,-2000.0,True,False
74,533064.629191,771761.689055,-2000.0,True,False
75,533256.936884,772094.775749,-2000.0,True,False
76,533449.244576,772427.862442,-2000.0,True,False
77,533641.552268,772760.949136,-2000.0,True,False
78,533841.552268,773107.359298,-2000.0,True,False
79,533998.83379,773379.778885,-2000.0,True,False
80,534279.802698,773866.431309,-2000.0,True,False
81,534781.727694,774735.790902,-2000.0,True,False
82,535678.370325,776288.821495,-2000.0,True,False
83,537280.139544,779063.167166,-2000.0,True,False
84,540141.552268,784019.279385,-2000.0,True,False
85,522881.862257,758188.44937,-2000.0,True,False
86,525743.274981,763144.561589,-2000.0,True,False
87,527345.044201,765918.90726,-2000.0,True,False
88,528241.686832,767471.937853,-2000.0,True,False
