ni,x,y,z,active,is_top
1,531725.602339,747405.236006,-2000.0,True,False
2,534225.602339,751735.363025,-2000.0,True,False
3,536308.935672,755343.802207,-2000.0,True,False
4,537975.602339,758230.553553,-2000.0,True,False
5,539225.602339,760395.617063,-2000.0,True,False
6,540058.935672,761838.992736,-2000.0,True,False
7,540475.602339,762560.680572,-2000.0,True,False
8,540683.935672,762921.524491,-2000.0,True,False
9,540892.269005,763282.368409,-2000.0,True,False
10,541100.602339,763643.212327,-2000.0,True,False
11,541308.935672,764004.056245,-2000.0,True,False
12,541517.269005,764364.900164,-2000.0,True,False
13,541725.602339,764725.744082,-2000.0,True,False
14,541933.935672,765086.588,-2000.0,True,False
15,542142.269005,765447.431918,-2000.0,True,False
16,542350.602339,765808.275836,-2000.0,True,False
17,542558.935672,766169.119755,-2000.0,True,False
18,542767.269005,766529.963673,-2000.0,True,False
19,542975.602339,766890.807591,-2000.0,True,False
20,543183.935672,767251.651509,-2000.0,True,False
21,543392.269005,767612.495428,-2000.0,True,False
22,543808.935672,768334.183264,-2000.0,True,False
23,544642.269005,769777.558937,-2000.0,True,False
24,545892.269005,771942.622447,-2000.0,True,False
25,547558.935672,774829.373793,-2000.0,True,False
26,549642.269005,778437.812975,-2000.0,True,False
27,552142.269005,782767.939994,-2000.0,True,False
28,527395.47532,749905.236006,-2000.0,True,False
29,529895.47532,754235.363025,-2000.0,True,False
30,531978.808653,757843.802207,-2000.0,True,False
31,533645.47532,760730.553553,-2000.0,True,False
32,534895.47532,762895.617063,-2000.0,True,False
33,535728.808653,764338.992736,-2000.0,True,False
34,536145.47532,765060.680572,-2000.0,True,False
35,536353.808653,765421.524491,-2000.0,True,False
36,536562.141986,765782.368409,-2000.0,True,False
37,536770.47532,766143.212327,-2000.0,True,False
38,536978.808653,766504.056245,-2000.0,True,False
39,537187.141986,766864.900164,-2000.0,True,False
40,537395.47532,767225.744082,-2000.0,True,False
41,537603.808653,767586.588,-2000.0,True,False
42,537812.141986,767947.431918,-2000.0,True,False
43,538020.47532,768308.275836,-2000.0,True,False
44,538228.808653,768669.119755,-2000.0,True,False
45,538437.141986,769029.963673,-2000.0,True,False
46,538645.47532,769390.807591,-2000.0,True,False
47,538853.808653,769751.651509,-2000.0,True,False
48,539062.141986,770112.495428,-2000.0,True,False
49,539478.808653,770834.183264,-2000.0,True,False
50,540312.141986,772277.558937,-2000.0,True,False
51,541562.141986,774442.622447,-2000.0,True,False
52,543228.808653,777329.373793,-2000.0,True,False
53,545312.141986,780937.812975,-2000.0,True,False
54,547812.141986,785267.939994,-2000.0,True,False
55,523931.373705,751905.236006,-2000.0,True,False
56,526431.373705,756235.363025,-2000.0,True,False
57,528514.707038,759843.802207,-2000.0,True,False
58,530181.373705,762730.553553,-2000.0,True,False
59,531431.373705,764895.617063,-2000.0,True,False
60,532264.707038,766338.992736,-2000.0,True,False
61,532681.373705,767060.680572,-2000.0,True,False
62,532889.707038,767421.524491,-2000.0,True,False
63,533098.040371,767782.368409,-2000.0,True,False
64,533306.373705,768143.212327,-2000.0,True,False
65,533514.707038,768504.056245,-2000.0,True,False
66,533723.040371,768864.900164,-2000.0,True,False
67,533931.373705,769225.744082,-2000.0,True,False
68,534139.707038,769586.588,-2000.0,True,False
69,534348.040371,769947.431918,-2000.0,True,False
70,534556.373705,770308.275836,-2000.0,True,False
71,534764.707038,770669.119755,-2000.0,True,False
72,534973.040371,771029.963673,-2000.0,True,False
73,535181.373705,771390.807591,-2000.0,True,False
74,535389.707038,771751.651509,-2000.0,True,False
75,535598.040371,772112.495428,-2000.0,True,False
76,536014.707038,772834.183264,-2000.0,True,False
77,536848.040371,774277.558937,-2000.0,True,False
78,538098.040371,776442.622447,-2000.0,True,False
79,539764.707038,779329.373793,-2000.0,True,False
80,541848.040371,782937.812975,-2000.0,True,False
81,544348.040371,787267.939994,-2000.0,True,False
82,521333.297493,753405.236006,-2000.0,True,False
83,523833.297493,757735.363025,-2000.0,True,False
84,525916.630826,761343.802207,-2000.0,True,False
85,527583.297493,764230.553553,-2000.0,True,False
86,528833.297493,766395.617063,-2000.0,True,False
87,529666.630826,767838.992736,-2000.0,True,False
88,530083.297493,768560.680572,-2000.0,True,False
89,530291.630826,768921.524491,-2000.0,True,False
90,530499.96416,769282.368409,-2000.0,True,False
91,530708.297493,769643.212327,-2000.0,True,False
92,530916.630826,770004.056245,-2000.0,True,False
93,531124.96416,770364.900164,-2000.0,True,False
94,531333.297493,770725.744082,-2000.0,True,False
95,531541.630826,771086.588,-2000.0,True,False
96,531749.96416,771447.431918,-2000.0,True,False
97,531958.297493,771808.275836,-2000.0,True,False
98,532166.630826,772169.119755,-2000.0,True,False
99,532374.96416,772529.963673,-2000.0,True,False
100,532583.297493,772890.807591,-2000.0,True,False
101,532791.630826,773251.651509,-2000.0,True,False
102,532999.96416,773612.495428,-2000.0,True,False
103,533416.630826,774334.183264,-2000.0,True,False
104,534249.96416,775777.558937,-2000.0,True,False
105,535499.96416,777942.622447,-2000.0,True,False
106,537166.630826,780829.373793,-2000.0,True,False
107,539249.96416,784437.812975,-2000.0,True,False
108,541749.96416,788767.939994,-2000.0,True,False
109,519601.246686,754405.236006,-2000.0,True,False
110,522101.246686,758735.363025,-2000.0,True,False
111,524184.580019,762343.802207,-2000.0,True,False
112,525851.246686,765230.553553,-2000.0,True,False
113,527101.246686,767395.617063,-2000.0,True,False
114,527934.580019,768838.992736,-2000.0,True,False
115,528351.246686,769560.680572,-2000.0,True,False
116,528559.580019,769921.524491,-2000.0,True,False
117,528767.913352,770282.368409,-2000.0,True,False
118,528976.246686,770643.212327,-2000.0,True,False
119,529184.580019,771004.056245,-2000.0,True,False
120,529392.913352,771364.900164,-2000.0,True,False
121,529601.246686,771725.744082,-2000.0,True,False
122,529809.580019,772086.588,-2000.0,True,False
123,530017.913352,772447.431918,-2000.0,True,False
124,530226.246686,772808.275836,-2000.0,True,False
125,530434.580019,773169.119755,-2000.0,True,False
126,530642.913352,773529.963673,-2000.0,True,False
127,530851.246686,773890.807591,-2000.0,True,False
128,531059.580019,774251.651509,-2000.0,True,False
129,531267.913352,774612.495428,-2000.0,True,False
130,531684.580019,775334.183264,-2000.0,True,False
131,532517.913352,776777.558937,-2000.0,True,False
132,533767.913352,778942.622447,-2000.0,True,False
133,535434.580019,781829.373793,-2000.0,True,False
134,537517.913352,785437.812975,-2000.0,True,False
135,540017.913352,789767.939994,-2000.0,True,False
136,518735.221282,754905.236006,-2000.0,True,False
137,521235.221282,759235.363025,-2000.0,True,False
138,523318.554615,762843.802207,-2000.0,True,False
139,524985.221282,765730.553553,-2000.0,True,False
140,526235.221282,767895.617063,-2000.0,True,False
141,527068.554615,769338.992736,-2000.0,True,False
142,527485.221282,770060.680572,-2000.0,True,False
143,527693.554615,770421.524491,-2000.0,True,False
144,527901.887948,770782.368409,-2000.0,True,False
145,528110.221282,771143.212327,-2000.0,True,False
146,528318.554615,771504.056245,-2000.0,True,False
147,528526.887948,771864.900164,-2000.0,True,False
148,528735.221282,772225.744082,-2000.0,True,False
149,528943.554615,772586.588,-2000.0,True,False
150,529151.887948,772947.431918,-2000.0,True,False
151,529360.221282,773308.275836,-2000.0,True,False
152,529568.554615,773669.119755,-2000.0,True,False
153,529776.887948,774029.963673,-2000.0,True,False
154,529985.221282,774390.807591,-2000.0,True,False
155,530193.554615,774751.651509,-2000.0,True,False
156,530401.887948,775112.495428,-2000.0,True,False
157,530818.554615,775834.183264,-2000.0,True,False
158,531651.887948,777277.558937,-2000.0,True,False
159,532901.887948,779442.622447,-2000.0,True,False
160,534568.554615,782329.373793,-2000.0,True,False
161,536651.887948,785937.812975,-2000.0,True,False
162,539151.887948,790267.939994,-2000.0,True,False
163,518302.20858,755155.236006,-2000.0,True,False
164,520802.20858,759485.363025,-2000.0,True,False
165,522885.541913,763093.802207,-2000.0,True,False
166,524552.20858,765980.553553,-2000.0,True,False
167,525802.20858,768145.617063,-2000.0,True,False
168,526635.541913,769588.992736,-2000.0,True,False
169,527052.20858,770310.680572,-2000.0,True,False
170,527260.541913,770671.524491,-2000.0,True,False
171,527468.875247,771032.368409,-2000.0,True,False
172,527677.20858,771393.212327,-2000.0,True,False
173,527885.541913,771754.056245,-2000.0,True,False
174,528093.875247,772114.900164,-2000.0,True,False
175,528302.20858,772475.744082,-2000.0,True,False
176,528510.541913,772836.588,-2000.0,True,False
177,528718.875247,773197.431918,-2000.0,True,False
178,528927.20858,773558.275836,-2000.0,True,False
179,529135.541913,773919.119755,-2000.0,True,False
180,529343.875247,774279.963673,-2000.0,True,False
181,529552.20858,774640.807591,-2000.0,True,False
182,529760.541913,775001.651509,-2000.0,True,False
183,529968.875247,775362.495428,-2000.0,True,False
184,530385.541913,776084.183264,-2000.0,True,False
185,531218.875247,777527.558937,-2000.0,True,False
186,532468.875247,779692.622447,-2000.0,True,False
187,534135.541913,782579.373793,-2000.0,True,False
188,536218.875247,786187.812975,-2000.0,True,False
189,538718.875247,790517.939994,-2000.0,True,False
190,517869.195878,755405.236006,-2000.0,True,False
191,520369.195878,759735.363025,-2000.0,True,False
192,522452.529211,763343.802207,-2000.0,True,False
193,524119.195878,766230.553553,-2000.0,True,False
194,525369.195878,768395.617063,-2000.0,True,False
195,526202.529211,769838.992736,-2000.0,True,False
196,526619.195878,770560.680572,-2000.0,True,False
197,526827.529211,770921.524491,-2000.0,True,False
198,527035.862545,771282.368409,-2000.0,True,False
199,527244.195878,771643.212327,-2000.0,True,False
200,527452.529211,772004.056245,-2000.0,True,False
201,527660.862545,772364.900164,-2000.0,True,False
202,527869.195878,772725.744082,-2000.0,True,False
203,528077.529211,773086.588,-2000.0,True,False
204,528285.862545,773447.431918,-2000.0,True,False
205,528494.195878,773808.275836,-2000.0,True,False
206,528702.529211,774169.119755,-2000.0,True,False
207,528910.862545,774529.963673,-2000.0,True,False
208,529119.195878,774890.807591,-2000.0,True,False
209,529327.529211,775251.651509,-2000.0,True,False
210,529535.862545,775612.495428,-2000.0,True,False
211,529952.529211,776334.183264,-2000.0,True,False
212,530785.862545,777777.558937,-2000.0,True,False
213,532035.862545,779942.622447,-2000.0,True,False
214,533702.529211,782829.373793,-2000.0,True,False
215,535785.862545,786437.812975,-2000.0,True,False
216,538285.862545,790767.939994,-2000.0,True,False
217,517436.183176,755655.236006,-2000.0,True,False
218,519936.183176,759985.363025,-2000.0,True,False
219,522019.516509,763593.802207,-2000.0,True,False
220,523686.183176,766480.553553,-2000.0,True,False
221,524936.183176,768645.617063,-2000.0,True,False
222,525769.516509,770088.992736,-2000.0,True,False
223,526186.183176,770810.680572,-2000.0,True,False
224,526394.516509,771171.524491,-2000.0,True,False
225,526602.849843,771532.368409,-2000.0,True,False
226,526811.183176,771893.212327,-2000.0,True,False
227,527019.516509,772254.056245,-2000.0,True,False
228,527227.849843,772614.900164,-2000.0,True,False
