ni,x,y,z,active,is_top
1,536046.274763,749388.860168,-2000.0,True,False
2,537584.736302,752053.553718,-2000.0,True,False
3,538930.890148,754385.160575,-2000.0,True,False
4,540084.736302,756383.680737,-2000.0,True,False
5,541046.274763,758049.114206,-2000.0,True,False
6,541815.505532,759381.460981,-2000.0,True,False
7,542392.428609,760380.721062,-2000.0,True,False
8,542777.043994,761046.89445,-2000.0,True,False
9,542969.351686,761379.981144,-2000.0,True,False
10,543065.505532,761546.524491,-2000.0,True,False
11,543161.659378,761713.067837,-2000.0,True,False
12,543257.813225,761879.611184,-2000.0,True,False
13,543353.967071,762046.154531,-2000.0,True,False
14,543450.120917,762212.697878,-2000.0,True,False
15,543546.274763,762379.241225,-2000.0,True,False
16,543642.428609,762545.784572,-2000.0,True,False
17,543738.582455,762712.327919,-2000.0,True,False
18,543834.736302,762878.871266,-2000.0,True,False
19,543930.890148,763045.414612,-2000.0,True,False
20,544027.043994,763211.957959,-2000.0,True,False
21,544123.19784,763378.501306,-2000.0,True,False
22,544219.351686,763545.044653,-2000.0,True,False
23,544315.505532,763711.588,-2000.0,True,False
24,544411.659378,763878.131347,-2000.0,True,False
25,544507.813225,764044.674694,-2000.0,True,False
26,544603.967071,764211.218041,-2000.0,True,False
27,544700.120917,764377.761388,-2000.0,True,False
28,544796.274763,764544.304734,-2000.0,True,False
29,544892.428609,764710.848081,-2000.0,True,False
30,544988.582455,764877.391428,-2000.0,True,False
31,545084.736302,765043.934775,-2000.0,True,False
32,545180.890148,765210.478122,-2000.0,True,False
33,545277.043994,765377.021469,-2000.0,True,False
34,545373.19784,765543.564816,-2000.0,True,False
35,545469.351686,765710.108163,-2000.0,True,False
36,545565.505532,765876.651509,-2000.0,True,False
37,545661.659378,766043.194856,-2000.0,True,False
38,545853.967071,766376.28155,-2000.0,True,False
39,546238.582455,767042.454938,-2000.0,True,False
40,546815.505532,768041.715019,-2000.0,True,False
41,547584.736302,769374.061794,-2000.0,True,False
42,548546.274763,771039.495263,-2000.0,True,False
43,549700.120917,773038.015425,-2000.0,True,False
44,551046.274763,775369.622282,-2000.0,True,False
45,552584.736302,778034.315832,-2000.0,True,False
46,532582.173148,751388.860168,-2000.0,True,False
47,534120.634686,754053.553718,-2000.0,True,False
48,535466.788533,756385.160575,-2000.0,True,False
49,536620.634686,758383.680737,-2000.0,True,False
50,537582.173148,760049.114206,-2000.0,True,False
51,538351.403917,761381.460981,-2000.0,True,False
52,538928.326994,762380.721062,-2000.0,True,False
53,539312.942379,763046.89445,-2000.0,True,False
54,539505.250071,763379.981144,-2000.0,True,False
55,539601.403917,763546.524491,-2000.0,True,False
56,539697.557763,763713.067837,-2000.0,True,False
57,539793.711609,763879.611184,-2000.0,True,False
58,539889.865456,764046.154531,-2000.0,True,False
59,539986.019302,764212.697878,-2000.0,True,False
60,540082.173148,764379.241225,-2000.0,True,False
61,540178.326994,764545.784572,-2000.0,True,False
62,540274.48084,764712.327919,-2000.0,True,False
63,540370.634686,764878.871266,-2000.0,True,False
64,540466.788533,765045.414612,-2000.0,True,False
65,540562.942379,765211.957959,-2000.0,True,False
66,540659.096225,765378.501306,-2000.0,True,False
67,540755.250071,765545.044653,-2000.0,True,False
68,540851.403917,765711.588,-2000.0,True,False
69,540947.557763,765878.131347,-2000.0,True,False
70,541043.711609,766044.674694,-2000.0,True,False
71,541139.865456,766211.218041,-2000.0,True,False
72,541236.019302,766377.761388,-2000.0,True,False
73,541332.173148,766544.304734,-2000.0,True,False
74,541428.326994,766710.848081,-2000.0,True,False
75,541524.48084,766877.391428,-2000.0,True,False
76,541620.634686,767043.934775,-2000.0,True,False
77,541716.788533,767210.478122,-2000.0,True,False
78,541812.942379,767377.021469,-2000.0,True,False
79,541909.096225,767543.564816,-2000.0,True,False
80,542005.250071,767710.108163,-2000.0,True,False
81,542101.403917,767876.651509,-2000.0,True,False
82,542197.557763,768043.194856,-2000.0,True,False
83,542389.865456,768376.28155,-2000.0,True,False
84,542774.48084,769042.454938,-2000.0,True,False
85,543351.403917,770041.715019,-2000.0,True,False
86,544120.634686,771374.061794,-2000.0,True,False
87,545082.173148,773039.495263,-2000.0,True,False
88,546236.019302,775038.015425,-2000.0,True,False
89,547582.173148,777369.622282,-2000.0,True,False
90,549120.634686,780034.315832,-2000.0,True,False
91,529551.084235,753138.860168,-2000.0,True,False
92,531089.545773,755803.553718,-2000.0,True,False
93,532435.699619,758135.160575,-2000.0,True,False
94,533589.545773,760133.680737,-2000.0,True,False
95,534551.084235,761799.114206,-2000.0,True,False
96,535320.315004,763131.460981,-2000.0,True,False
97,535897.238081,764130.721062,-2000.0,True,False
98,536281.853465,764796.89445,-2000.0,True,False
99,536474.161158,765129.981144,-2000.0,True,False
100,536570.315004,765296.524491,-2000.0,True,False
101,536666.46885,765463.067837,-2000.0,True,False
102,536762.622696,765629.611184,-2000.0,True,False
103,536858.776542,765796.154531,-2000.0,True,False
104,536954.930389,765962.697878,-2000.0,True,False
105,537051.084235,766129.241225,-2000.0,True,False
106,537147.238081,766295.784572,-2000.0,True,False
107,537243.391927,766462.327919,-2000.0,True,False
108,537339.545773,766628.871266,-2000.0,True,False
109,537435.699619,766795.414612,-2000.0,True,False
110,537531.853465,766961.957959,-2000.0,True,False
111,537628.007312,767128.501306,-2000.0,True,False
112,537724.161158,767295.044653,-2000.0,True,False
113,537820.315004,767461.588,-2000.0,True,False
114,537916.46885,767628.131347,-2000.0,True,False
115,538012.622696,767794.674694,-2000.0,True,False
116,538108.776542,767961.218041,-2000.0,True,False
117,538204.930389,768127.761388,-2000.0,True,False
118,538301.084235,768294.304734,-2000.0,True,False
119,538397.238081,768460.848081,-2000.0,True,False
120,538493.391927,768627.391428,-2000.0,True,False
121,538589.545773,768793.934775,-2000.0,True,False
122,538685.699619,768960.478122,-2000.0,True,False
123,538781.853465,769127.021469,-2000.0,True,False
124,538878.007312,769293.564816,-2000.0,True,False
125,538974.161158,769460.108163,-2000.0,True,False
126,539070.315004,769626.651509,-2000.0,True,False
127,539166.46885,769793.194856,-2000.0,True,False
128,539358.776542,770126.28155,-2000.0,True,False
129,539743.391927,770792.454938,-2000.0,True,False
130,540320.315004,771791.715019,-2000.0,True,False
131,541089.545773,773124.061794,-2000.0,True,False
132,542051.084235,774789.495263,-2000.0,True,False
133,543204.930389,776788.015425,-2000.0,True,False
134,544551.084235,779119.622282,-2000.0,True,False
135,546089.545773,781784.315832,-2000.0,True,False
136,526953.008023,754638.860168,-2000.0,True,False
137,528491.469562,757303.553718,-2000.0,True,False
138,529837.623408,759635.160575,-2000.0,True,False
139,530991.469562,761633.680737,-2000.0,True,False
140,531953.008023,763299.114206,-2000.0,True,False
141,532722.238793,764631.460981,-2000.0,True,False
142,533299.161869,765630.721062,-2000.0,True,False
143,533683.777254,766296.89445,-2000.0,True,False
144,533876.084946,766629.981144,-2000.0,True,False
145,533972.238793,766796.524491,-2000.0,True,False
146,534068.392639,766963.067837,-2000.0,True,False
147,534164.546485,767129.611184,-2000.0,True,False
148,534260.700331,767296.154531,-2000.0,True,False
149,534356.854177,767462.697878,-2000.0,True,False
150,534453.008023,767629.241225,-2000.0,True,False
151,534549.161869,767795.784572,-2000.0,True,False
152,534645.315716,767962.327919,-2000.0,True,False
153,534741.469562,768128.871266,-2000.0,True,False
154,534837.623408,768295.414612,-2000.0,True,False
155,534933.777254,768461.957959,-2000.0,True,False
156,535029.9311,768628.501306,-2000.0,True,False
157,535126.084946,768795.044653,-2000.0,True,False
158,535222.238793,768961.588,-2000.0,True,False
159,535318.392639,769128.131347,-2000.0,True,False
160,535414.546485,769294.674694,-2000.0,True,False
161,535510.700331,769461.218041,-2000.0,True,False
162,535606.854177,769627.761388,-2000.0,True,False
163,535703.008023,769794.304734,-2000.0,True,False
164,535799.161869,769960.848081,-2000.0,True,False
165,535895.315716,770127.391428,-2000.0,True,False
166,535991.469562,770293.934775,-2000.0,True,False
167,536087.623408,770460.478122,-2000.0,True,False
168,536183.777254,770627.021469,-2000.0,True,False
169,536279.9311,770793.564816,-2000.0,True,False
170,536376.084946,770960.108163,-2000.0,True,False
171,536472.238793,771126.651509,-2000.0,True,False
172,536568.392639,771293.194856,-2000.0,True,False
173,536760.700331,771626.28155,-2000.0,True,False
174,537145.315716,772292.454938,-2000.0,True,False
175,537722.238793,773291.715019,-2000.0,True,False
176,538491.469562,774624.061794,-2000.0,True,False
177,539453.008023,776289.495263,-2000.0,True,False
178,540606.854177,778288.015425,-2000.0,True,False
179,541953.008023,780619.622282,-2000.0,True,False
180,543491.469562,783284.315832,-2000.0,True,False
181,524787.944514,755888.860168,-2000.0,True,False
182,526326.406052,758553.553718,-2000.0,True,False
183,527672.559898,760885.160575,-2000.0,True,False
